medcode,readcode,readterm,cat
5643,7914300,Replacement of valve of heart NEC,Valvular disease
5644,F281.11,Anoxic - ischaemic encephalopathy,Other neurological disorders
5651,F11z.00,Cerebral degeneration NOS,Other neurological disorders
5668,F251600,Grand mal seizure,Other neurological disorders
5695,G41z.11,Chronic cor pulmonale,Pulmonary circulation disorders
5702,G73..11,Peripheral ischaemic vascular disease,Peripheral vascular disease
5710,H3z..00,Chronic obstructive airways disease NOS,Chronic pulmonary disease
5714,G56y100,Atrioventricular dissociation,Cardiac arrythmia
5723,N042200,Rheumatoid nodule,Rheumatoid arthritis and collagen diseases
5740,E230.00,Acute alcoholic intoxication in alcoholism,Alcohol abuse
5743,G54z500,Valvular heart disease,Valvular disease
5748,C367.00,Hyperkalaemia,Fluid and electrolyte disorders
5758,Eu10212,[X]Chronic alcoholism,Alcohol abuse
5798,H312000,Chronic asthmatic bronchitis,Chronic pulmonary disease
5812,1625.11,Abnormal weight loss - symptom,Weight loss
5842,B58..00,Secondary malignant neoplasm of other specified sites,Metastatic cancer
5867,173A.00,Exercise induced asthma,Chronic pulmonary disease
5871,14A7.12,H/O: stroke,Other neurological disorders
5879,E112.11,Agitated depression,Depression
5884,C109.11,NIDDM - Non-insulin dependent diabetes mellitus,Diabetes (uncomplicated)
5901,B141.12,Rectal carcinoma,Solid tumour or leukaemia
5909,H312011,Chronic wheezy bronchitis,Chronic pulmonary disease
5911,ZV42000,[V]Kidney transplanted,Renal disease
5928,7627,Operations on duodenal ulcer,Peptic ulcer disease
5931,1461,H/O: dementia,Other neurological disorders
5932,BB06.00,"[M]Tumour cells, uncertain whether benign or malignant",Solid tumour or leukaemia
5942,G581.13,Impaired left ventricular function,Congestive heart failure
5943,G73..00,Other peripheral vascular disease,Peripheral vascular disease
5971,7N40000,[SO]Mitral valve,Valvular disease
5987,Eu32z14,[X] Reactive depression NOS,Depression
6009,7937300,Maintenance of cardiac pacemaker system NEC,Cardiac arrythmia
6015,Jyu7100,[X]Other and unspecified cirrhosis of liver,Liver disease
6028,D011X00,"Vitamin B12 deficiency anaemia, unspecified",Deficiency anaemia
6051,H563100,Diffuse pulmonary fibrosis,Chronic pulmonary disease
6077,G543215,"Pulmonary regurgitation, cause unspecified",Valvular disease
6116,G66..13,CVA - Cerebrovascular accident unspecified,Other neurological disorders
6125,66AS.00,Diabetic annual review,Diabetes (uncomplicated)
6140,H58y400,Squamous metaplasia of lung,Chronic pulmonary disease
6155,G64..13,Stroke due to cerebral arterial occlusion,Other neurological disorders
6169,E23z.00,Alcohol dependence syndrome NOS,Alcohol abuse
6170,B590.11,Carcinomatosis,Metastatic cancer
6220,C370.00,Cystic fibrosis,Chronic pulmonary disease
6228,G68X.00,"Sequelae of stroke,not specfd as h'morrhage or infarction",Other neurological disorders
6253,G66..12,Stroke unspecified,Other neurological disorders
6271,F25X.00,"Status epilepticus, unspecified",Other neurological disorders
6321,14C1.11,H/O: duodenal ulcer,Peptic ulcer disease
6325,1464,H/O: schizophrenia,Psychoses
6328,B834.00,Carcinoma in situ of prostate,Solid tumour or leukaemia
6333,J11..11,Prepyloric ulcer,Peptic ulcer disease
6345,14AN.00,H/O: atrial fibrillation,Cardiac arrythmia
6356,7A4B000,Percutaneous transluminal angioplasty of femoral artery,Peripheral vascular disease
6430,9NM0.00,Attending diabetes clinic,Diabetes (uncomplicated)
6436,BB43.00,[M]Transitional cell carcinoma NOS,Solid tumour or leukaemia
6467,Eu10511,[X]Alcoholic hallucinosis,Alcohol abuse
6471,B57..11,Metastases of respiratory and/or digestive systems,Metastatic cancer
6482,E113700,Recurrent depression,Depression
6494,F037.00,Transverse myelitis,Other neurological disorders
6503,G57..11,Cardiac arrhythmias,Cardiac arrythmia
6509,C108700,Insulin dependent diabetes mellitus with retinopathy,Diabetes with end-organ damage
6546,E112.12,Endogenous depression first episode,Depression
6563,H58..00,Other diseases of lung,Chronic pulmonary disease
6578,Eu01.00,[X]Vascular dementia,Other neurological disorders
6624,H501000,Pleural abscess,Chronic pulmonary disease
6631,14S4.00,H/O: heart valve recipient,Valvular disease
6639,14G1.00,H/O: rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
6684,G723000,Aneurysm of femoral artery,Peripheral vascular disease
6692,SP08600,Liver transplant failure and rejection,Liver disease
6701,B565.00,Secondary and unspec malig neop intrapelvic lymph nodes,Metastatic cancer
6702,F421300,Hypertensive retinopathy,Hypertension with end-organ damage
6707,H330111,Extrinsic asthma with asthma attack,Chronic pulmonary disease
6709,Eu05y11,[X]Epileptic psychosis NOS,Other neurological disorders
6710,Eu31.12,[X]Manic-depressive psychosis,Depression
6712,K050.00,End stage renal failure,Renal disease
6746,BB5M.00,[M]Tubular adenomas and adenocarcinomas,Solid tumour or leukaemia
6771,3273,ECG: atrial flutter,Cardiac arrythmia
6791,C108800,Insulin dependent diabetes mellitus - poor control,Diabetes (uncomplicated)
6800,65Q7.00,Viral hepatitis carrier,Liver disease
6806,B12..00,Malignant neoplasm of small intestine and duodenum,Solid tumour or leukaemia
6813,1434,H/O: diabetes mellitus,Diabetes (uncomplicated)
6816,D000.11,Normocytic anaemia due to chronic blood loss,Blood loss anaemia
6827,G73..13,Peripheral ischaemia,Peripheral vascular disease
6837,H563.00,Idiopathic fibrosing alveolitis,Chronic pulmonary disease
6842,K060.11,Impaired renal function,Renal disease
6843,P64z.00,Congenital aortic valve insufficiency NOS,Valvular disease
6853,G73z011,Claudication,Peripheral vascular disease
6854,Eu32y00,[X]Other depressive episodes,Depression
6863,J61..00,Cirrhosis and chronic liver disease,Liver disease
6865,761J.11,Stomach ulcer operations,Peptic ulcer disease
6872,G71z.00,Aortic aneurysm NOS,Peripheral vascular disease
6874,Eu31.00,[X]Bipolar affective disorder,Psychoses
6886,P63..00,Congenital aortic valve stenosis,Valvular disease
6889,F135.00,Other choreas,Other neurological disorders
6900,G74y500,Embolism and thrombosis of the subclavian artery,Peripheral vascular disease
6903,B803.00,Carcinoma in situ of colon,Solid tumour or leukaemia
6916,N040P00,Seronegative rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
6920,BB5U.00,[M]Villous adenomas and adenocarcinomas,Solid tumour or leukaemia
6932,E113.11,Endogenous depression - recurrent,Depression
6935,B131.00,Malignant neoplasm of transverse colon,Solid tumour or leukaemia
6950,E112.13,Endogenous depression first episode,Depression
6960,G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,Other neurological disorders
6966,BB1D.00,[M]Spindle cell carcinoma,Solid tumour or leukaemia
6983,667..00,Epilepsy monitoring,Other neurological disorders
6985,BB03.11,[M]Secondary neoplasm,Metastatic cancer
7011,E112z00,Single major depressive episode NOS,Depression
7017,7004300,Evacuation of intracerebral haematoma NEC,Other neurological disorders
7035,8E54.00,Exercises for spasticity,Paralysis
7045,14F4.00,H/O: Admission in last year for diabetes foot problem,Diabetes with end-organ damage
7046,B43..00,Malignant neoplasm of body of uterus,Solid tumour or leukaemia
7057,G2z..00,Hypertensive disease NOS,Hypertension (uncomplicated)
7058,8H2P.00,"Emergency admission, asthma",Chronic pulmonary disease
7059,8H2J.00,Admit diabetic emergency,Diabetes (uncomplicated)
7069,F420000,Background diabetic retinopathy,Diabetes with end-organ damage
7092,H30..12,Recurrent wheezy bronchitis,Chronic pulmonary disease
7108,14C1.12,H/O: gastric ulcer,Peptic ulcer disease
7123,ZV11300,[V]Personal history of alcoholism,Alcohol abuse
7138,ZV12512,[V]Personal history of cerebrovascular accident (CVA),Other neurological disorders
7146,H330.00,Extrinsic (atopic) asthma,Chronic pulmonary disease
7167,F24yz11,Specified palsy NEC,Paralysis
7174,L43..00,Obstetric pulmonary embolism,Pulmonary circulation disorders
7180,G4...00,Pulmonary circulation diseases,Pulmonary circulation disorders
7187,B837.00,Carcinoma in situ of bladder,Solid tumour or leukaemia
7191,663P.00,Asthma limiting activities,Chronic pulmonary disease
7196,N045.00,Other juvenile arthritis,Rheumatoid arthritis and collagen diseases
7219,B141.11,Carcinoma of rectum,Solid tumour or leukaemia
7229,663W.00,Asthma prophylactic medication used,Chronic pulmonary disease
7276,7914200,Prosthetic replacement of valve of heart NEC,Valvular disease
7319,BB9G.00,[M]Infiltrating ductular carcinoma,Solid tumour or leukaemia
7321,H541z00,Pulmonary oedema NOS,Chronic pulmonary disease
7323,E000.00,Uncomplicated senile dementia,Other neurological disorders
7328,M037200,Cellulitis in diabetic foot,Diabetes (uncomplicated)
7329,G24..00,Secondary hypertension,Hypertension (uncomplicated)
7378,663U.00,Asthma management plan given,Chronic pulmonary disease
7410,G57y400,Sinoatrial node dysfunction NOS,Cardiac arrythmia
7416,663N.00,Asthma disturbing sleep,Chronic pulmonary disease
7470,F152111,Duchenne Aran muscular atrophy,Other neurological disorders
7473,B8...00,Carcinoma in situ,Solid tumour or leukaemia
7482,G562.00,Left bundle branch hemiblock,Cardiac arrythmia
7483,BBE1.12,[M]Melanoma NOS,Solid tumour or leukaemia
7563,66A3.00,Diabetic on diet only,Diabetes (uncomplicated)
7569,TJ90.00,Adverse reaction to antidepressants,Depression
7593,H51y700,Malignant pleural effusion,Solid tumour or leukaemia
7602,J617000,Chronic alcoholic hepatitis,Alcohol abuse
7604,Eu32.13,[X]Single episode of reactive depression,Depression
7654,B585.00,Secondary malignant neoplasm of bone and bone marrow,Metastatic cancer
7664,Eu00.00,[X]Dementia in Alzheimer's disease,Other neurological disorders
7693,BBE..00,[M]Naevi and melanomas,Solid tumour or leukaemia
7697,B810800,Carcinoma in situ of vocal fold - glottis,Solid tumour or leukaemia
7731,H330.14,Pollen asthma,Chronic pulmonary disease
7737,Eu34113,[X]Neurotic depression,Depression
7746,E250.00,Nondependent alcohol abuse,Alcohol abuse
7749,Eu41211,[X]Mild anxiety depression,Depression
7761,1425000,H/O Malignant melanoma,Solid tumour or leukaemia
7780,G667.00,Left sided CVA,Other neurological disorders
7791,H55..00,Postinflammatory pulmonary fibrosis,Chronic pulmonary disease
7794,G571.11,Ventricular tachycardia,Cardiac arrythmia
7795,C106.12,Diabetes mellitus with neuropathy,Diabetes with end-organ damage
7804,K02..00,Chronic glomerulonephritis,Renal disease
7805,B440.00,Malignant neoplasm of ovary,Solid tumour or leukaemia
7827,G57y.00,Other cardiac dysrhythmias,Cardiac arrythmia
7830,B56..11,Lymph node metastases,Metastatic cancer
7833,B830.00,Carcinoma in situ of breast,Solid tumour or leukaemia
7841,D0...00,Deficiency anaemias,Deficiency anaemia
7856,BBJH.00,[M]Dedifferentiated liposarcoma,Solid tumour or leukaemia
7871,N000.00,Systemic lupus erythematosus,Rheumatoid arthritis and collagen diseases
7884,H3y1.00,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",Chronic pulmonary disease
7885,J613.00,Alcoholic liver damage unspecified,Alcohol abuse
7894,7910,Plastic repair of mitral valve,Valvular disease
7900,142..12,H/O: carcinoma,Solid tumour or leukaemia
7904,B832000,Carcinoma in situ of endometrium,Solid tumour or leukaemia
7912,G614.00,Pontine haemorrhage,Other neurological disorders
7940,ByuDF11,[X]Non-Hodgkin's lymphoma NOS,Lymphoma
7941,BBW4.00,[M]Chondrosarcoma NOS,Solid tumour or leukaemia
7943,J617.00,Alcoholic hepatitis,Liver disease
7945,F256000,Hypsarrhythmia,Other neurological disorders
7947,J631200,Hepatitis in infectious mononucleosis,Liver disease
7953,Eu34100,[X]Dysthymia,Depression
7957,J614111,Autoimmune chronic active hepatitis,Liver disease
7963,G121.12,Aortic regurgitation - rheumatic,Valvular disease
7975,16I..00,Claudication distance,Peripheral vascular disease
7982,B161200,Malignant neoplasm of common bile duct,Solid tumour or leukaemia
8000,7N40.00,[SO]Valve of heart,Valvular disease
8030,ZV6D600,[V]Alcohol abuse counselling and surveillance,Alcohol abuse
8032,BB5B.00,[M]Pancreatic adenomas and carcinomas,Solid tumour or leukaemia
8037,7L1B000,Insertion of ambulatory peritoneal dialysis catheter,Renal disease
8054,D0z..00,Deficiency anaemias NOS,Deficiency anaemia
8085,BBF1.00,[M]Sarcoma NOS,Solid tumour or leukaemia
8088,BBG3.00,[M]Fibromyxosarcoma,Solid tumour or leukaemia
8097,2828,Absence seizure,Other neurological disorders
8101,BB5a.00,[M]Renal adenoma and carcinoma,Solid tumour or leukaemia
8154,B576200,Malignant ascites,Metastatic cancer
8155,14C5.00,H/O: liver disease,Liver disease
8166,B17..00,Malignant neoplasm of pancreas,Solid tumour or leukaemia
8177,B836000,Carcinoma in situ of testis,Solid tumour or leukaemia
8181,S628.00,Traumatic subdural haemorrhage,Other neurological disorders
8187,F251500,Tonic-clonic epilepsy,Other neurological disorders
8195,Eu00z11,[X]Alzheimer's dementia unspec,Other neurological disorders
8206,C350012,Pigmentary cirrhosis of liver,Liver disease
8230,G567400,Wolff-Parkinson-White syndrome,Cardiac arrythmia
8244,B801.00,Carcinoma in situ of oesophagus,Solid tumour or leukaemia
8274,G130.00,Mitral and aortic stenosis,Valvular disease
8281,A789A00,HIV disease resulting in wasting syndrome,HIV/AIDS
8282,2836,O/E - quadriplegia,Paralysis
8284,E243.00,Cannabis type drug dependence,Drug abuse
8303,H41..00,Asbestosis,Chronic pulmonary disease
8306,8H7f.00,Referral to diabetes nurse,Diabetes (uncomplicated)
8317,H58y300,Interstitial lung disease NEC,Chronic pulmonary disease
8326,7936600,Implantation of permanent intravenous cardiac pacemaker,Cardiac arrythmia
8330,K0D..00,End-stage renal disease,Renal disease
8335,H33z111,Asthma attack NOS,Chronic pulmonary disease
8350,N040T00,Flare of rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
8351,BB91.00,[M]Infiltrating duct carcinoma,Solid tumour or leukaemia
8355,9OJA.11,Asthma monitored,Chronic pulmonary disease
8363,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,Liver disease
8386,B11..00,Malignant neoplasm of stomach,Solid tumour or leukaemia
8388,ZV57A00,[V]Alcohol rehabilitation,Alcohol abuse
8403,C109700,Non-insulin dependent diabetes mellitus - poor control,Diabetes (uncomplicated)
8407,E10z.00,Schizophrenia NOS,Psychoses
8414,8CA4100,Pt advised re diabetic diet,Diabetes (uncomplicated)
8430,1462,H/O: alcoholism,Alcohol abuse
8443,G663.00,Brain stem stroke syndrome,Other neurological disorders
8459,2992.11,O/E - spastic gait,Paralysis
8463,ZV6D700,[V]Drug abuse counselling and surveillance,Drug abuse
8464,G400.00,Acute cor pulmonale,Pulmonary circulation disorders
8478,E130.00,Reactive depressive psychosis,Psychoses
8487,F132z12,Myoclonic seizure,Other neurological disorders
8492,F22z.00,Hemiplegia NOS,Paralysis
8550,B542000,Malignant neoplasm of pituitary gland,Solid tumour or leukaemia
8567,E11..11,Bipolar psychoses,Psychoses
8583,N042000,Rheumatic carditis,Rheumatoid arthritis and collagen diseases
8584,Eu34111,[X]Depressive neurosis,Depression
8600,1D18.00,Pain from metastases,Metastatic cancer
8606,BB5j.00,[M]Endometrioid adenomas and carcinomas,Solid tumour or leukaemia
8607,K0C0.00,Analgesic nephropathy,Renal disease
8618,ZLA2500,Seen by diabetic liaison nurse,Diabetes (uncomplicated)
8627,BB07.00,"[M]Tumour cells, malignant",Solid tumour or leukaemia
8634,E004.11,Multi infarct dementia,Other neurological disorders
8636,P64..00,Congenital aortic valve insufficiency,Valvular disease
8640,7G03J00,Excision of melanoma,Solid tumour or leukaemia
8647,B825000,Carcinoma in situ of skin of breast,Solid tumour or leukaemia
8649,ByuDF00,"[X]Non-Hodgkin's lymphoma, unspecified type",Lymphoma
8651,G57y600,Nodal rhythm disorder,Cardiac arrythmia
8656,7937000,Implantation of cardiac pacemaker system NEC,Cardiac arrythmia
8660,BBV1.00,[M]Osteosarcoma NOS,Solid tumour or leukaemia
8692,F14..11,Cerebellar disease,Other neurological disorders
8693,B5...11,Carcinoma of other and unspecified sites,Solid tumour or leukaemia
8695,BB12.00,[M]Carcinoma NOS,Solid tumour or leukaemia
8711,BB5D100,[M]Cholangiocarcinoma,Solid tumour or leukaemia
8732,G2...11,BP - hypertensive disease,Hypertension (uncomplicated)
8766,Eu0z.12,[X]Symptomatic psychosis NOS,Psychoses
8771,B170.00,Malignant neoplasm of head of pancreas,Solid tumour or leukaemia
8796,7N40100,[SO]Aortic valve,Valvular disease
8801,M271400,Mixed venous and arterial leg ulcer,Peripheral vascular disease
8826,Eu33.15,[X]SAD - Seasonal affective disorder,Depression
